出版年	记录数	5,076,991的百分位
2021	596167	11.743
2020	516238	10.168
2019	466083	9.180
2022	437796	8.623
2018	381969	7.524
2017	333387	6.567
2016	300150	5.912
2015	273863	5.394
2014	244809	4.822
2013	211998	4.176
2012	179903	3.543
2011	156318	3.079
2010	133898	2.637
2009	121440	2.392
2008	105610	2.080
2007	92618	1.824
2006	83663	1.648
2005	70179	1.382
2004	57841	1.139
2003	46620	0.918
2002	38482	0.758
2001	34367	0.677
2000	29337	0.578
1999	25470	0.502
1998	20333	0.400
1997	16464	0.324
1996	14492	0.285
1995	11889	0.234
1994	9508	0.187
1993	8716	0.172
1992	8082	0.159
1991	7328	0.144
1990	6911	0.136
1989	6265	0.123
1988	5617	0.111
1987	4610	0.091
1986	3788	0.075
1985	3077	0.061
1984	2819	0.056
1983	2567	0.051
1982	2214	0.044
1981	1458	0.029
1980	749	0.015
1979	412	0.008
1978	189	0.004
1977	133	0.003
1974	75	0.001
1936	74	0.001
1941	64	0.001
1976	59	0.001
1940	53	0.001
1924	51	0.001
1939	51	0.001
1926	49	0.001
1937	48	0.001
1944	48	0.001
1975	48	0.001
1938	47	0.001
1942	47	0.001
1930	46	0.001
1935	45	0.001
1931	42	0.001
1934	33	0.001
1929	32	0.001
1928	29	0.001
1932	29	0.001
1927	27	0.001
1933	27	0.001
1925	24	0.000
1943	23	0.000
1923	21	0.000
1973	11	0.000
1920	8	0.000
1922	8	0.000
1917	5	0.000
1921	5	0.000
1916	4	0.000
1918	4	0.000
1915	3	0.000
1902	2	0.000
1910	2	0.000
1911	2	0.000
1912	2	0.000
1913	2	0.000
1914	2	0.000
1946	2	0.000
1953	2	0.000
1954	2	0.000
1900	1	0.000
1906	1	0.000
1908	1	0.000
1909	1	0.000
1919	1	0.000
1970	1	0.000