出版年	记录数	11,216,360的百分位
2021	403245	3.595
2020	388108	3.460
2019	373436	3.329
2018	351915	3.138
2017	344612	3.072
2016	337229	3.007
2015	328162	2.926
2014	322598	2.876
2013	318013	2.835
2012	304936	2.719
2011	295663	2.636
2010	282628	2.520
2009	272576	2.430
2008	269306	2.401
2007	261971	2.336
2006	258170	2.302
2005	251341	2.241
2004	242356	2.161
2022	234946	2.095
2003	232998	2.077
2002	223452	1.992
2000	221306	1.973
2001	220241	1.964
1998	218768	1.950
1999	218551	1.949
1996	213969	1.908
1997	213684	1.905
1995	194582	1.735
1994	189872	1.693
1993	187092	1.668
1992	184850	1.648
1991	183886	1.639
1990	175235	1.562
1989	169959	1.515
1988	163640	1.459
1987	159027	1.418
1986	156413	1.395
1985	155855	1.390
1984	153601	1.369
1983	148796	1.327
1982	143042	1.275
1981	136459	1.217
1980	128168	1.143
1979	124595	1.111
1978	120230	1.072
1977	118915	1.060
1976	106093	0.946
1974	102571	0.914
1975	101487	0.905
1973	99087	0.883
1941	9514	0.085
1942	9208	0.082
1940	9169	0.082
1939	8890	0.079
1972	8816	0.079
1938	8684	0.077
1936	8259	0.074
1937	8206	0.073
1943	8139	0.073
1935	7804	0.070
1934	7339	0.065
1933	7178	0.064
1944	7017	0.063
1932	6457	0.058
1930	6445	0.057
1931	6132	0.055
1929	5671	0.051
1928	5450	0.049
1927	5074	0.045
1926	4588	0.041
1925	4323	0.039
1924	3971	0.035
1923	3617	0.032
1922	3175	0.028
1921	2758	0.025
1920	2574	0.023
1919	2303	0.021
1970	2278	0.020
1917	2209	0.020
1916	2070	0.018
1915	1941	0.017
1918	1899	0.017
1913	1695	0.015
1912	1671	0.015
1914	1628	0.015
1911	1540	0.014
1967	1450	0.013
1910	1392	0.012
1908	1339	0.012
1966	1338	0.012
1909	1289	0.011
1907	1241	0.011
1971	1147	0.010
1906	1102	0.010
1968	1069	0.010
1904	924	0.008
1905	904	0.008
1903	870	0.008
1902	781	0.007
1901	747	0.007
1900	686	0.006
1969	531	0.005
1955	512	0.005
1953	458	0.004
1951	430	0.004
1954	417	0.004
1950	401	0.004
1952	391	0.003
1949	342	0.003
1945	264	0.002
1947	263	0.002
1946	255	0.002
1948	236	0.002
1960	116	0.001
1965	114	0.001
1964	6	0.000
1962	5	0.000
1956	3	0.000
1958	3	0.000
1959	3	0.000
1963	3	0.000
1957	1	0.000